concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
1001,Synthetic standard measurement,Measurement,FB-STANDARD,FB-CLASS,S,STD-MEAS,1970-01-01,2099-12-31,
1002,Synthetic standard condition one,Condition,FB-STANDARD,FB-CLASS,S,STD-COND-1,1970-01-01,2099-12-31,
1003,Synthetic standard condition two,Condition,FB-STANDARD,FB-CLASS,S,STD-COND-2,1970-01-01,2099-12-31,
1004,Synthetic standard condition three,Condition,FB-STANDARD,FB-CLASS,S,STD-COND-3,1970-01-01,2099-12-31,
1005,Synthetic condition behind a deleted mapping,Condition,FB-STANDARD,FB-CLASS,S,STD-COND-4,1970-01-01,2099-12-31,
1006,Synthetic condition marked as updated,Condition,FB-STANDARD,FB-CLASS,S,STD-COND-5,1970-01-01,2099-12-31,U
1007,Synthetic condition behind a valid mapping,Condition,FB-STANDARD,FB-CLASS,S,STD-COND-6,1970-01-01,2099-12-31,
1008,Synthetic measurement valid from 2030,Measurement,FB-STANDARD,FB-CLASS,S,STD-FUTURE,2030-01-01,2099-12-31,
1009,Synthetic condition behind a later mapping,Condition,FB-STANDARD,FB-CLASS,S,STD-COND-7,1970-01-01,2099-12-31,
1010,"Synthetic drug, one tablet",Drug,FB-STANDARD,FB-CLASS,S,STD-DRUG,1970-01-01,2099-12-31,
1011,Synthetic ingredient,Drug,FB-STANDARD,FB-INGREDIENT,S,STD-INGREDIENT,1970-01-01,2099-12-31,
1012,Synthetic measurement valid until 2019,Measurement,FB-STANDARD,FB-CLASS,S,STD-PAST,1970-01-01,2019-12-31,
1101,Synthetic laboratory analyte one,Measurement,LOINC,FB-CLASS,S,SYN-LAB-1,1970-01-01,2099-12-31,
1102,Synthetic standard laboratory analyte two,Measurement,FB-STANDARD,FB-CLASS,S,STD-LAB-2,1970-01-01,2099-12-31,
2001,Synthetic source code with one mapping,Condition,FB-SOURCE,FB-CLASS,,SRC-ONE,1970-01-01,2099-12-31,
2002,Synthetic source code with two mappings,Condition,FB-SOURCE,FB-CLASS,,SRC-FAN,1970-01-01,2099-12-31,
2003,Synthetic source code marked as deleted,Condition,FB-SOURCE,FB-CLASS,,SRC-DELETED,1970-01-01,2099-12-31,D
2004,Synthetic source code with stale mappings,Condition,FB-SOURCE,FB-CLASS,,SRC-STALE,1970-01-01,2099-12-31,
2005,Synthetic source code with a later mapping,Condition,FB-SOURCE,FB-CLASS,,SRC-LATER,1970-01-01,2099-12-31,
2006,Synthetic source code sharing its key (first),Condition,FB-SOURCE,FB-CLASS,,SRC-TWIN,1970-01-01,2099-12-31,
2007,Synthetic source code sharing its key (second),Condition,FB-SOURCE,FB-CLASS,,SRC-TWIN,1970-01-01,2099-12-31,
2008,Synthetic source code replaced by an update,Condition,FB-SOURCE,FB-CLASS,,SRC-SUCCEEDED,1970-01-01,2020-12-31,U
2009,Synthetic source code that replaced it,Condition,FB-SOURCE,FB-CLASS,,SRC-SUCCEEDED,2021-01-01,2099-12-31,
2010,Synthetic source code without a mapping,Condition,FB-SOURCE,FB-CLASS,,SRC-NOMAP,1970-01-01,2099-12-31,
2101,Synthetic laboratory analyte two,Measurement,LOINC,FB-CLASS,,SYN-LAB-2,1970-01-01,2099-12-31,
3001,Synthetic µ-unit,Unit,FB-UNIT,FB-CLASS,S,U-SYNTH,1970-01-01,2099-12-31,
3101,Synthetic millimole per litre,Unit,UCUM,FB-CLASS,S,mmol/L,1970-01-01,2099-12-31,
3102,Synthetic gram per litre,Unit,UCUM,FB-CLASS,S,g/L,1970-01-01,2099-12-31,
4101,Synthetic specimen type,Specimen,SNOMED,FB-CLASS,S,SYN-SPEC-1,1970-01-01,2099-12-31,
4201,<,Meas Value Operator,FB-STANDARD,FB-CLASS,S,OP-LT,1970-01-01,2099-12-31,
4202,<=,Meas Value Operator,FB-STANDARD,FB-CLASS,S,OP-LE,1970-01-01,2099-12-31,
4203,=,Meas Value Operator,FB-STANDARD,FB-CLASS,S,OP-EQ,1970-01-01,2099-12-31,
4204,>=,Meas Value Operator,FB-STANDARD,FB-CLASS,S,OP-GE,1970-01-01,2099-12-31,
4205,>,Meas Value Operator,FB-STANDARD,FB-CLASS,S,OP-GT,1970-01-01,2099-12-31,
5001,Synthetic laboratory visit,Visit,FB-STANDARD,FB-CLASS,S,STD-VISIT,1970-01-01,2099-12-31,
5101,Synthetic record type,Type Concept,FB-STANDARD,FB-CLASS,S,STD-TYPE-RECORD,1970-01-01,2099-12-31,
5102,Synthetic observation period type,Type Concept,FB-STANDARD,FB-CLASS,S,STD-TYPE-PERIOD,1970-01-01,2099-12-31,
9001,FerroBRIDGE synthetic source vocabulary,Metadata,FB-META,FB-META,,VOC-SOURCE,1970-01-01,2099-12-31,
9002,FerroBRIDGE synthetic standard vocabulary,Metadata,FB-META,FB-META,,VOC-STANDARD,1970-01-01,2099-12-31,
9003,FerroBRIDGE synthetic unit vocabulary,Metadata,FB-META,FB-META,,VOC-UNIT,1970-01-01,2099-12-31,
9004,FerroBRIDGE synthetic metadata vocabulary,Metadata,FB-META,FB-META,,VOC-META,1970-01-01,2099-12-31,
9005,FerroBRIDGE synthetic stand-in for LOINC,Metadata,FB-META,FB-META,,VOC-LOINC,1970-01-01,2099-12-31,
9006,FerroBRIDGE synthetic stand-in for UCUM,Metadata,FB-META,FB-META,,VOC-UCUM,1970-01-01,2099-12-31,
9007,FerroBRIDGE synthetic stand-in for SNOMED,Metadata,FB-META,FB-META,,VOC-SNOMED,1970-01-01,2099-12-31,
9011,Synthetic Measurement domain,Metadata,FB-META,FB-META,,DOM-MEASUREMENT,1970-01-01,2099-12-31,
9012,Synthetic Condition domain,Metadata,FB-META,FB-META,,DOM-CONDITION,1970-01-01,2099-12-31,
9013,Synthetic Unit domain,Metadata,FB-META,FB-META,,DOM-UNIT,1970-01-01,2099-12-31,
9014,Synthetic Metadata domain,Metadata,FB-META,FB-META,,DOM-METADATA,1970-01-01,2099-12-31,
9015,Synthetic Drug domain,Metadata,FB-META,FB-META,,DOM-DRUG,1970-01-01,2099-12-31,
9016,Synthetic Specimen domain,Metadata,FB-META,FB-META,,DOM-SPECIMEN,1970-01-01,2099-12-31,
9017,Synthetic Meas Value Operator domain,Metadata,FB-META,FB-META,,DOM-OPERATOR,1970-01-01,2099-12-31,
9018,Synthetic Visit domain,Metadata,FB-META,FB-META,,DOM-VISIT,1970-01-01,2099-12-31,
9019,Synthetic Type Concept domain,Metadata,FB-META,FB-META,,DOM-TYPE,1970-01-01,2099-12-31,
9021,Synthetic concept class,Metadata,FB-META,FB-META,,CLS-CLASS,1970-01-01,2099-12-31,
9022,Synthetic ingredient class,Metadata,FB-META,FB-META,,CLS-INGREDIENT,1970-01-01,2099-12-31,
9023,Synthetic metadata class,Metadata,FB-META,FB-META,,CLS-META,1970-01-01,2099-12-31,
9031,Synthetic Maps to relationship,Metadata,FB-META,FB-META,,REL-MAPS-TO,1970-01-01,2099-12-31,
9032,Synthetic Mapped from relationship,Metadata,FB-META,FB-META,,REL-MAPPED-FROM,1970-01-01,2099-12-31,
9033,Synthetic unrelated relationship,Metadata,FB-META,FB-META,,REL-RELATED,1970-01-01,2099-12-31,
9034,Synthetic language,Metadata,FB-META,FB-META,,LANG-SYNTH,1970-01-01,2099-12-31,
