concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason
2001,1002,Maps to,1970-01-01,2099-12-31,
1002,2001,Mapped from,1970-01-01,2099-12-31,
2002,1004,Maps to,1970-01-01,2099-12-31,
2002,1003,Maps to,1970-01-01,2099-12-31,
2003,1002,Maps to,1970-01-01,2099-12-31,
2004,1005,Maps to,1970-01-01,2099-12-31,D
2004,1006,Maps to,1970-01-01,2099-12-31,
2004,1007,Maps to,1970-01-01,2099-12-31,
2005,1009,Maps to,2030-01-01,2099-12-31,
2006,1002,Maps to,1970-01-01,2099-12-31,
2007,1003,Maps to,1970-01-01,2099-12-31,
2008,1003,Maps to,1970-01-01,2020-12-31,D
2009,1002,Maps to,2021-01-01,2099-12-31,
2010,1001,FB related,1970-01-01,2099-12-31,
2101,1102,Maps to,1970-01-01,2099-12-31,
1102,2101,Mapped from,1970-01-01,2099-12-31,
